id,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,review_scores_rating
6957469,40.79792663,-73.96670655,Apartment,Entire home/apt,2,1,1,2,Real Bed,150,
7087549,40.77769773,-73.98960092,Apartment,Entire home/apt,4,1,1,1,Real Bed,200,
6170089,40.79689257,-73.96769309,Apartment,Private room,1,1,1,1,Real Bed,85,100
3549667,40.77869728,-73.98309923,Apartment,Private room,2,1,1,2,Real Bed,99,97
4597234,40.77901944,-73.97935633,Apartment,Entire home/apt,3,1,1,2,Real Bed,375,80
1713098,40.80097497,-73.96439775,Apartment,Private room,3,1,1,2,Real Bed,125,94
5893298,40.79238877,-73.97434436,Apartment,Private room,2,1,1,1,Real Bed,104,80
533544,40.78999532,-73.96727354,Apartment,Entire home/apt,3,1,1,1,Real Bed,175,95
7479920,40.80179065,-73.96480865,Apartment,Private room,1,1,1,1,Real Bed,55,
8018789,40.77897873,-73.98221203,Apartment,Entire home/apt,4,1,2,2,Real Bed,320,
8149789,40.78017681,-73.97939075,Apartment,Entire home/apt,4,1,0,2,Real Bed,215,
7873215,40.77902375,-73.97543891,Apartment,Entire home/apt,4,1,0,2,Real Bed,215,
4597637,40.80031843,-73.96149461,Apartment,Entire home/apt,9,2,4,4,Real Bed,650,100
1843891,40.80330834,-73.96508239,Apartment,Private room,2,1,1,1,Real Bed,95,83
6926528,40.78921789,-73.97346231,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,100
4859903,40.78379574,-73.97265698,Apartment,Entire home/apt,3,1,1,2,Real Bed,298,89
1583128,40.78147031,-73.97619266,Apartment,Private room,1,1,1,1,Real Bed,79,87
6171248,40.78229277,-73.98176538,Apartment,Entire home/apt,5,1,1,3,Real Bed,215,95
4729927,40.77716035,-73.97836535,Apartment,Entire home/apt,3,1,1,2,Real Bed,250,
5943770,40.7978819,-73.96180137,Apartment,Private room,1,2,1,1,Real Bed,60,
4860784,40.77811934,-73.98183906,Apartment,Entire home/apt,2,1,0,1,Real Bed,200,94
4992462,40.79118236,-73.97232024,Apartment,Shared room,1,1,1,1,Real Bed,100,100
6565348,40.77461914,-73.98407137,Apartment,Entire home/apt,2,1,1,1,Real Bed,146,
5485203,40.79410848,-73.96676982,Apartment,Private room,2,1,1,1,Real Bed,100,
8008692,40.77505576,-73.98389545,Apartment,Entire home/apt,2,1,1,1,Real Bed,300,
4340691,40.78999835,-73.9743006,Apartment,Private room,2,1,1,1,Real Bed,125,93
5649567,40.79059921,-73.97537462,Apartment,Entire home/apt,4,1,0,2,Real Bed,150,92
8141872,40.78017832,-73.98041061,Apartment,Entire home/apt,4,1,1,2,Real Bed,205,
7094413,40.78455044,-73.9765224,Apartment,Private room,2,1,1,2,Real Bed,99,93
6439079,40.80093888,-73.96663363,Apartment,Private room,6,1,1,2,Real Bed,200,
1324295,40.78887571,-73.97402187,Apartment,Entire home/apt,4,1,1,2,Real Bed,200,96
1588459,40.77820635,-73.97679687,Apartment,Entire home/apt,2,1,1,1,Real Bed,250,100
929790,40.79677206,-73.97269397,Apartment,Private room,2,1,1,1,Real Bed,148,96
8142109,40.78077297,-73.98623746,Apartment,Entire home/apt,3,1,0,1,Real Bed,135,
4339149,40.79871414,-73.96409873,Apartment,Private room,2,1,1,1,Real Bed,200,
7093674,40.79788142,-73.96954943,Apartment,Entire home/apt,5,1,1,1,Real Bed,175,95
3946115,40.80075397,-73.9677046,Apartment,Entire home/apt,6,2,3,4,Real Bed,450,
2244245,40.78818494,-73.97418553,Apartment,Entire home/apt,4,1,1,2,Real Bed,399,
1716285,40.78831794,-73.9769951,Apartment,Entire home/apt,2,1,0,1,Real Bed,120,94
1720171,40.78987534,-73.96870959,Apartment,Entire home/apt,4,1,1,1,Real Bed,250,97
6436950,40.78027374,-73.98488827,Apartment,Entire home/apt,2,1,0,2,Real Bed,195,90
1456352,40.80028199,-73.96180161,Apartment,Entire home/apt,6,1,2,3,Real Bed,198,81
540622,40.77954435,-73.98233639,Apartment,Entire home/apt,3,1,1,1,Real Bed,239,98
4866004,40.80227604,-73.96886944,Apartment,Entire home/apt,4,1,2,3,Real Bed,185,
5910752,40.77320302,-73.97966519,Apartment,Entire home/apt,2,1,0,1,Real Bed,200,100
3948939,40.78829253,-73.97052668,Apartment,Entire home/apt,2,1,1,1,Real Bed,230,100
6832606,40.77721226,-73.97897807,Apartment,Entire home/apt,5,2,2,2,Real Bed,299,67
6832631,40.80263762,-73.96810169,Apartment,Entire home/apt,4,2,2,2,Real Bed,349,
2715300,40.77284777,-73.99096887,Apartment,Private room,2,1,1,1,Real Bed,100,100
1983188,40.79858599,-73.96077623,Apartment,Private room,1,1,1,1,Real Bed,80,96
4866831,40.78610649,-73.98194812,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,
4473922,40.78437033,-73.9780718,Apartment,Entire home/apt,3,1,1,3,Real Bed,300,80
