GEOID10,Category
6075023102,Abandoned Vehicle
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023200,Abandoned Vehicle
6075023200,Street and Sidewalk Cleaning
6075023102,Abandoned Vehicle
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023103,Street and Sidewalk Cleaning
6075023103,Street and Sidewalk Cleaning
6075023103,Sign Repair
6075023200,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023103,Streetlights
6075023200,Street Defects
6075023102,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023200,Sewer Issues
6075022600,Graffiti Public Property
6075022600,Graffiti Public Property
6075022600,Graffiti Public Property
6075022600,Rec and Park Requests
6075022600,Rec and Park Requests
6075022600,Street and Sidewalk Cleaning
6075022600,Street and Sidewalk Cleaning
6075022600,Street and Sidewalk Cleaning
6075022600,Street and Sidewalk Cleaning
6075022600,Street and Sidewalk Cleaning
6075022600,General Requests
6075022600,Street and Sidewalk Cleaning
6075980900,Street Defects
6075980900,Sewer Issues
6075023103,Streetlights
6075980900,Street and Sidewalk Cleaning
6075980900,Street Defects
6075980900,General Requests
6075980900,Sidewalk or Curb
6075980900,Street Defects
6075980900,General Requests
6075023102,Tree Maintenance
6075023200,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023200,Streetlights
6075023200,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023102,Tree Maintenance
6075023103,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023200,Noise Report
6075023102,MUNI Feedback
6075023102,Sidewalk or Curb
6075023200,Abandoned Vehicle
6075023200,Abandoned Vehicle
6075023200,Street and Sidewalk Cleaning
6075023200,Street Defects
6075023200,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023200,Abandoned Vehicle
6075023102,General Requests
6075023200,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023200,Street and Sidewalk Cleaning
6075023102,Street and Sidewalk Cleaning
6075023103,Sewer Issues
